,sid,doc_id,sent_idx,passive,active
0,GUM_academic_art-21,GUM_academic_art,20,"The direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene (e.g. colour, texture, brightness etc).","An interaction between the goals of the observer and the physical properties of the different elements of the scene (e.g. colour, texture, brightness etc) determines the direction of saccades."
1,GUM_academic_census-23,GUM_academic_census,22,"For example, differences in recruitment and retention strategies across departments will be washed out by averaging, thereby masking any insights into the efficacy of individual strategies and policies.","For example, averaging will wash differences in recruitment and retention strategies across departments out, thereby masking any insights into the efficacy of individual strategies and policies."
2,GUM_academic_economics-10,GUM_academic_economics,9,"In other words, it is critical that economic agents believe that their property rights will not be taken away by other public or private actors [15].","In other words, it is critical that economic agents believe that other public or private actors will not take their property rights away [15]."
3,GUM_academic_epistemic-7,GUM_academic_epistemic,6,We live in an epistemic environment that is heavily and deliberately polluted by agents who use mimicry and other methods as a means of inflating their pretense to expertise.,We live in an epistemic environment that agents who use mimicry and other methods as a means of inflating their pretense to expertise heavily and deliberately pollute.
4,GUM_academic_huh-3,GUM_academic_huh,2,"Thus, the sound of the word dog in English is connected to the concept ‘dog’ by historical accident and not by any natural connection; roughly the same concept is just as well denoted in French by chien, in German by hund, and in Japanese by inu.","Thus, historical accident and not any natural connection connects the sound of the word dog in English to the concept ‘dog’; roughly the same concept is just as well denoted in French by chien, denoted in German by hund, and denoted in Japanese by inu."
5,GUM_academic_huh-17,GUM_academic_huh,16,We observe that this item fulfils a crucial need shared by all languages – the efficient signalling of problems of hearing and understanding – and we propose that its form is constrained by selective pressures in a conversational environment that is essentially the same in all languages.,We observe that this item fulfils a crucial need shared by all languages – the efficient signalling of problems of hearing and understanding – and we propose that selective pressures in a conversational environment that is essentially the same in all languages constrain its form.
6,GUM_academic_huh-21,GUM_academic_huh,20,This is followed by a repetition of the original statement by G.,A repetition of the original statement by G follows this.
7,GUM_academic_huh-23,GUM_academic_huh,22,"repair is initiated not by the speaker of the first turn but by the other participant (“other-initiated”), and the repair initiator signals that there is a problem, but it leaves open what the problem is (“open”) [11].","Not the speaker of the first turn but the other participant (“other-initiated”) initiates repair, and the repair initiator signals that there is a problem, but it leaves open what the problem is (“open”) [11]."
8,GUM_academic_lighting-38,GUM_academic_lighting,37,"In response to the aforementioned situation where the three types of lights are compared by their efficiency and effectiveness as light sources, the proponents conducted this study.","In response to the aforementioned situation where their efficiency and effectiveness as light sources compares the three types of lights, the proponents conducted this study."
9,GUM_academic_mutation-11,GUM_academic_mutation,10,The different mutants are generated automatically by the application of mutation operators.,The application of mutation operators generates the different mutants automatically.
10,GUM_academic_mutation-33,GUM_academic_mutation,32,"A Geofence is determined by a geographical location expressed in terms of latitude, longitude, and a radius around that location.","A geographical location expressed in terms of latitude, longitude, and a radius around that location determines a Geofence."
11,GUM_academic_replication-3,GUM_academic_replication,2,Replication studies are considered by many to play a fundamental role in any scientific endeavor.,Many consider replication studies to play a fundamental role in any scientific endeavor.
12,GUM_academic_replication-22,GUM_academic_replication,21,The research questions and methods of the systematic review were largely determined by the narrative review but also emerged through the design and piloting of the coding instrument.,The narrative review largely determined the research questions and methods of the systematic review but also emerged through the design and piloting of the coding instrument.
13,GUM_academic_salinity-15,GUM_academic_salinity,14,"Among these models, the small-slope approximation/small perturbation model (SSA / SPM) [18,19,20,21], two scale model (TSM) [22,23,24] and empirical/semi-empirical models [25,26] have been widely used by the research community and implemented in different satellite data processing systems.","Among these models, the research community has widely used the small-slope approximation /small perturbation model (SSA / SPM) [18,19,20,21], two scale model (TSM) [22,23,24] and empirical /semi-empirical models [25,26] and implemented in different satellite data processing systems."
14,GUM_academic_salinity-16,GUM_academic_salinity,15,"As the foam effect is significant at high wind speed conditions (above a threshold of 12 m/s) due to strong wave breaking, it has been corrected by numerous models; for example, the semi-empirical models [27,28] and radiative transfer equation (RTE) based models [29,30], which were developed to estimate the foam covered sea surface emissivity.","As the foam effect is significant at high wind speed conditions (above a threshold of 12 m /s) due to strong wave breaking, numerous models have corrected it; for example, the semi-empirical models [27,28] and radiative transfer equation (RTE) based models [29,30], which were developed to estimate the foam covered sea surface emissivity."
15,GUM_academic_salinity-23,GUM_academic_salinity,22,"Furthermore, the satellite measurements of SSS are hampered by the effect of radio frequency interference (RFI) in offshore areas of China (i.e., Bohai sea, Yellow sea and East China sea), which causes a large amount of data to be discarded [33].","Furthermore, the effect of radio frequency interference (RFI) in offshore areas of China (i.e., Bohai sea, Yellow sea and East China sea), which causes a large amount of data to be discarded hampers the satellite measurements of SSS [33]."
16,GUM_academic_theropod-9,GUM_academic_theropod,8,"Our data show that for a given CFL mass, femoral retraction can be greatly affected by the location of the CoM and limb postures.","Our data show that for a given CFL mass, the location of the CoM and limb postures can greatly affect femoral retraction."
17,GUM_academic_theropod-37,GUM_academic_theropod,36,"One caveat, however, is that our approach uses tail reduction as the mechanism for CoM displacement despite it has been recently shown that the evolutionary change in CoM position was driven instead by forelimb enlargement [8].","One caveat, however, is that our approach uses tail reduction as the mechanism for CoM displacement despite it has been recently shown that forelimb enlargement drove the evolutionary change in CoM position instead [8]."
18,GUM_academic_thrones-15,GUM_academic_thrones,14,"Readers of the book series had long anticipated and dreaded the events of the “Red Wedding”, while fans of the show unfamiliar with Martin’s narrative were largely taken unawares by the pivotal episode.","Readers of the book series had long anticipated and dreaded the events of the “Red Wedding”, while the pivotal episode largely took fans of the show unfamiliar with Martin’s narrative unawares."
19,GUM_bio_bernoulli-13,GUM_bio_bernoulli,12,"Daniel Bernoulli was described by W. W. Rouse Ball as ""by far the ablest of the younger Bernoullis"".","W. W. Rouse Ball described Daniel Bernoulli as ""by far the ablest of the younger Bernoullis""."
20,GUM_bio_bernoulli-32,GUM_bio_bernoulli,31,"This was followed by a memoir on the theory of the tides, to which, conjointly with the memoirs by Euler and Colin Maclaurin, a prize was awarded by the French Academy: these three memoirs contain all that was done on this subject between the publication of Isaac Newton's Philosophiae Naturalis Principia Mathematica and the investigations of Pierre-Simon Laplace.","A memoir on the theory of the tides, to which, conjointly with the memoirs by Euler and Colin Maclaurin, a prize was awarded by the French Academy followed this: these three memoirs contain all that was done on this subject between the publication of Isaac Newton's Philosophiae Naturalis Principia Mathematica and the investigations of Pierre-Simon Laplace."
21,GUM_bio_bernoulli-45,GUM_bio_bernoulli,44,This is exploited by the wing of an aeroplane which is designed to create an area above its surface where the air velocity increases.,The wing of an aeroplane which is designed to create an area above its surface where the air velocity increases exploits this.
22,GUM_bio_bernoulli-46,GUM_bio_bernoulli,45,"The pressure in this area is lower than that under the wing, so the wing is pushed upwards by the relatively higher pressure under the wing.","The pressure in this area is lower than that under the wing, so the relatively higher pressure under the wing pushes the wing upwards."
23,GUM_bio_chao-23,GUM_bio_chao,22,"Late in his life, he was invited by Deng Xiaoping to return to China in 1981.","Late in his life, Deng Xiaoping invited him to return to China in 1981."
24,GUM_bio_enfant-9,GUM_bio_enfant,8,L'Enfant was recruited by Pierre Augustin Caron de Beaumarchais to serve in the American Revolutionary War in the United States.,Pierre Augustin Caron de Beaumarchais recruited L'Enfant to serve in the American Revolutionary War in the United States.
25,GUM_bio_enfant-18,GUM_bio_enfant,17,"L'Enfant was promoted by brevet to Major in the Corps of Engineers on May 2, 1783, in recognition of his service to the cause of American liberty.","Brevet promoted L'Enfant to Major in the Corps of Engineers on May 2, 1783, in recognition of his service to the cause of American liberty."
26,GUM_bio_fillmore-19,GUM_bio_fillmore,18,"In 1968, he published his theory of Case Grammar (Fillmore 1968), which highlighted the fact that syntactic structure can be predicted by semantic participants.","In 1968, he published his theory of Case Grammar (Fillmore 1968), which highlighted the fact that semantic participants can predict syntactic structure."
27,GUM_bio_fillmore-33,GUM_bio_fillmore,32,"Over time, construction grammar developed into a research area of its own, and a number of variants have been proposed over the years by different researchers.","Over time, construction grammar developed into a research area of its own, and different researchers have proposed a number of variants over the years."
28,GUM_bio_galois-17,GUM_bio_galois,16,This conjecture is also supported by other letters Galois later wrote to his friends the night before he died.,Other letters Galois later wrote to his friends the night before he died also support this conjecture.
29,GUM_bio_galois-20,GUM_bio_galois,19,"Much more detailed speculation based on these scant historical details has been interpolated by many of Galois' biographers (most notably by Eric Temple Bell in Men of Mathematics), such as the frequently repeated speculation that the entire incident was stage-managed by the police and royalist factions to eliminate a political enemy. [14]","Many of Galois' biographers have interpolated much more detailed speculation based on these scant historical details, such as the frequently repeated speculation that the entire incident was stage-managed by the police and royalist factions to eliminate a political enemy (most notably interpolated by Eric Temple Bell in Men of Mathematics), such as the frequently repeated speculation that the entire incident was stage-managed by the police and royalist factions to eliminate a political enemy. [14]"
30,GUM_bio_gordon-33,GUM_bio_gordon,32,"A new full scholarly edition of Gordon's Diary in English was published by the Centre for Irish and Scottish Studies in Aberdeen (6 vols, 2009 - 2016), as well as its translation into Russian.","The Centre for Irish and Scottish Studies in Aberdeen published a new full scholarly edition of Gordon's Diary in English, as well as its translation into Russian (6 vols, 2009-2016), as well as its translation into Russian."
31,GUM_bio_hadid-5,GUM_bio_hadid,4,"In 2012, she was made a Dame by Elizabeth II for services to architecture, and in 2015 she became the first and only woman to be awarded the Royal Gold Medal from the Royal Institute of British Architects.","In 2012, Elizabeth II made her a Dame for services to architecture, and in 2015 she became the first and only woman to be awarded the Royal Gold Medal from the Royal Institute of British Architects."
32,GUM_bio_hadid-6,GUM_bio_hadid,5,"She was described by The Guardian of London as the 'Queen of the curve', who ""liberated architectural geometry, giving it a whole new expressive identity.""","The Guardian of London described her as the 'Queen of the curve', who ""liberated architectural geometry, giving it a whole new expressive identity."""
33,GUM_bio_higuchi-4,GUM_bio_higuchi,3,She wrote relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today.,She wrote relatively little as a result of living a brief life—she died at 24—but her stories had a large impact on Japanese literature and the Japanese public still appreciates her today.
34,GUM_bio_higuchi-18,GUM_bio_higuchi,17,"The plots were thin, there was little development of character and they were loaded down by excessive sentiment, especially when compared to what she was writing concurrently in her diary.","The plots were thin, there was little development of character and excessive sentiment loaded them down, especially when compared to what she was writing concurrently in her diary."
35,GUM_bio_higuchi-29,GUM_bio_higuchi,28,"The stories of her mature period (1894 – 96) were not only marked by her experience living near the red-light district and greater concern over the plight of women, but also by the influence of Ihara Saikaku, a 17th-century writer, whose stories she had recently discovered.","Her experience living near the red-light district and greater concern over the plight of women, but also the influence of Ihara Saikaku, a 17th-century writer, whose stories she had recently discovered not only marked the stories of her mature period (1894 – 96)."
36,GUM_bio_higuchi-35,GUM_bio_higuchi,34,"In her humble home she was visited by other writers, students of poetry, admirers, the curious, critics, and editors requesting her collaboration.","In her humble home other writers, students of poetry, admirers, the curious, critics, and editors requesting her collaboration visited her."
37,GUM_bio_holt-37,GUM_bio_holt,36,"Holt was drafted by the Pittsburgh Pirates with the club's ninth round selection in the 2009 Major League Baseball Draft, one pick before his Rice teammate Ryan Berry. [7]","The Pittsburgh Pirates drafted Holt with the club's ninth round selection in the 2009 Major League Baseball Draft, one pick before his Rice teammate Ryan Berry. [7]"
38,GUM_bio_jerome-9,GUM_bio_jerome,8,"Jerome is recognised as a saint and Doctor of the Church by the Catholic Church, the Eastern Orthodox Church, the Lutheran Church, and the Anglican Communion. [8]","The Catholic Church, the Eastern Orthodox Church, the Lutheran Church, and the Anglican Communion recognise Jerome as a saint and Doctor of the Church. [8]"
39,GUM_bio_moreau-35,GUM_bio_moreau,34,"Elevator to the Gallows (1958) with first-time director Louis Malle was followed by Malle's The Lovers (Les Amants, 1959). [7]","Malle's The Lovers (Les Amants, 1959) followed Elevator to the Gallows (1958) with first-time director Louis Malle. [7]"
40,GUM_bio_theodorus-10,GUM_bio_theodorus,9,"He was welcomed by Pachomius upon his arrival, and quickly integrated into the community at Tabennese around 328.","Pachomius welcomed him upon his arrival, and quickly integrated into the community at Tabennese around 328."
41,GUM_conversation_erasmus-82,GUM_conversation_erasmus,81,"On the other hand, we have passages of Scripture, which seem to indicate, that the will is not free, and that the –, and that man i- th- is – man is predestined by a an omnipotent sovereign will of God.","On the other hand, we have passages of Scripture, which seem to indicate, that the will is not free, and that the –, and that a an omnipotent sovereign will of God predestines man man."
42,GUM_court_carpet-20,GUM_court_carpet,19,"Uh I was called by Matthew here, to do the job for him.","Uh Matthew here called me, to do the job for him."
43,GUM_court_property-75,GUM_court_property,74,And it's our position that those specific procedures are the ones that are required by due process and not a Chapter 91 contested case here.,And it's our position that those specific procedures are the ones that due process and not a Chapter 91 contested case here requires.
44,GUM_essay_distraction-5,GUM_essay_distraction,4,"We know that our readers are distracted and sometimes even overwhelmed by the myriad distractions that lie one click away on the Internet, but of course writers face the same glorious problem: the delirious world of information and communication and community that lurks behind your screen, one alt-tab away from your word-processor.","We know that the myriad distractions that lie one click away on the Internet distract our readers and sometimes even overwhelmed, but of course writers face the same glorious problem: the delirious world of information and communication and community that lurks behind your screen, one alt-tab away from your word-processor."
45,GUM_essay_dividends-6,GUM_essay_dividends,5,"The notion has been advanced by liberals such as James Tobin, John Kenneth Galbraith, and George McGovern, and by conservatives like Friedrich Hayek, Milton Friedman, and Richard Nixon.","Liberals such as James Tobin, John Kenneth Galbraith, and George McGovern, and conservatives like Friedrich Hayek, Milton Friedman, and Richard Nixon have advanced the notion."
46,GUM_essay_dividends-50,GUM_essay_dividends,49,This value isn’t created by single individuals or corporations; it’s created collectively and hence belongs equally to all.,Single individuals or corporations do n’t create this value; it ’s created collectively and hence belongs equally to all.
47,GUM_essay_food-8,GUM_essay_food,7,"Frozen foods have long been marginalized by foodies as pale, second-rate substitutes for their fresh equivalents, but those sentiments are starting to shift.","Foodies have long marginalized frozen foods as pale, second-rate substitutes for their fresh equivalents, but those sentiments are starting to shift."
48,GUM_essay_ghost-37,GUM_essay_ghost,36,"Throughout Ghost, Major Kusanagi is plagued by doubts of who she is.","Throughout Ghost, doubts of who she is plague Major Kusanagi."
49,GUM_fiction_error-8,GUM_fiction_error,7,"For many years after her death, however, Tyler was tortured by the memory of a certain visit from her.","For many years after her death, however, the memory of a certain visit from her tortured Tyler."
50,GUM_fiction_pixies-4,GUM_fiction_pixies,3,"Jenna was in the tub, and I was doing the Times crossword, listening to the clang of the radiators and the swish of the taxis on the slush outside, when my coffee-scented reverie was broken by a loud squawk from the bathroom, and a splash, and a flesh-upon-cold-tile sort of thump.","Jenna was in the tub, and I was doing the Times crossword, listening to the clang of the radiators and the swish of the taxis on the slush outside, when a loud squawk from the bathroom, and a splash, and a flesh-upon-cold-tile sort of thump broke my coffee-scented reverie."
51,GUM_fiction_pixies-18,GUM_fiction_pixies,17,"She’d be irritated by her own wet footprints on the battered wood of the hallway floor later, but right now she had blood on her mind.","Her own wet footprints on the battered wood of the hallway floor ’d irritate her later, but right now she had blood on her mind."
52,GUM_fiction_veronique-61,GUM_fiction_veronique,60,"I dreamed that I was at the offworlder's home, where it was summer but no one was taking care of the stabros, and they were all glad, and so I was a hero - and I was startled awake by gunfire.","I dreamed that I was at the offworlder's home, where it was summer but no one was taking care of the stabros, and they were all glad, and so I was a hero-and gunfire startled me awake."
53,GUM_interview_cocktail-4,GUM_interview_cocktail,3,The beverage was inspired by the santorum neologism coined in advice columnist Dan Savage's column Savage Love in response to comments made by former Pennsylvania Senator Rick Santorum about homosexuality;,The santorum neologism coined in advice columnist Dan Savage's column Savage Love in response to comments made by former Pennsylvania Senator Rick Santorum about homosexuality inspired the beverage;
54,GUM_interview_cocktail-22,GUM_interview_cocktail,21,Rick Santorum himself has acknowledged and discussed the existence and prevalence of the santorum neologism phenomenon; he was quoted by The Canadian Press on his assessment of Google's response;,Rick Santorum himself has acknowledged and discussed the existence and prevalence of the santorum neologism phenomenon; The Canadian Press quoted him on his assessment of Google's response;
55,GUM_interview_daly-41,GUM_interview_daly,40,"What sort of difficulties were posed by the unorthodox preservatives used, and what additional work might be possible on a specimen with intact DNA?","The unorthodox preservatives used posed what sort of difficulties, and what additional work might be possible on a specimen with intact DNA?"
56,GUM_interview_messina-59,GUM_interview_messina,58,She was staggered by the loss last year to the Cardinals.,The loss last year to the Cardinals staggered her.
57,GUM_interview_messina-65,GUM_interview_messina,64,Moments like that must make you realize you have touched people who aren't normally touched by poetry.,Moments like that must make you realize you have touched people who aren't normally touched by poetry.
58,GUM_interview_peres-12,GUM_interview_peres,11,"The minute the land was replaced by science, what is there to fight about?","The minute science replaced the land, what is there to fight about?"
59,GUM_interview_shalev-6,GUM_interview_shalev,5,He was interviewed by Wikinews.,Wikinews interviewed him.
60,GUM_interview_shalev-54,GUM_interview_shalev,53,I'm a little bit inspired by dreams but when eventually I started to write more seriously I was more interested in structure which also .. a bit like mathematics in a way .. for example my first book is called Opus 1 .. a collection of four long stories with musical structures.,Dreams inspire me but when eventually I started to write more seriously I was more interested in structure which also .. a bit like mathematics in a way .. for example my first book is called Opus 1 .. a collection of four long stories with musical structures.
61,GUM_interview_stardust-48,GUM_interview_stardust,47,"Markus Landgraf has estimated the number of interstellar dust particles that should have been captured by Stardust during two periods of the ""cruise"" phase of the interplanetary orbit in which the spacecraft was moving with this wind.","Markus Landgraf has estimated the number of interstellar dust particles that Stardust should have captured during two periods of the ""cruise"" phase of the interplanetary orbit in which the spacecraft was moving with this wind."
62,GUM_letter_flood-50,GUM_letter_flood,49,Under the present law all public facilities except recreation areas will be restored by the Federal Government.,Under the present law the Federal Government will restore all public facilities except recreation areas.
63,GUM_letter_gorbachev-36,GUM_letter_gorbachev,35,"Finally, the future rent of land can more justly be claimed by future generations than by today's citizens.","Finally, future generations can more justly claim the future rent of land than today's citizens."
